Sample ,Date,Time period,Region,Plant,BLTVA,BCTV,Year
2,15-Mar,Early March,Moxee,Tumble mustard,0,1,2021
4,15-Mar,Early March,Pasco,Tumble mustard,0,1,2021
8,23-Mar,Late March,Pasco,Tumble mustard,1,0,2021
12,30-Mar,Late March,Pasco,Tumble mustard,1,0,2021
16,6-Apr,Early April,Pasco,Tumble mustard,1,0,2021
20,13-Apr,Early April,Pasco,Tumble mustard,0,0,2021
24,20-Apr,Late April,Pasco,Tumble mustard,0,1,2021
28,27-Apr,Late April,Pasco,Tumble mustard,1,1,2021
32,4-May,Early May,Moxee,Tumble mustard,1,1,2021
36,4-May,Early May,Pasco,Tumble mustard,1,1,2021
39,11-May,Early May,Moxee,Tumble mustard,0,1,2021
43,11-May,Early May,Pasco,Tumble mustard,1,1,2021
53,26-May,Late May,Pasco,Tumble mustard,0,0,2021
48,26-May,Late May,Moxee,Tumble mustard,1,0,2021
D11,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D13,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
47,26-May,Late May,Moxee,Russian thistle,1,1,2021
C13,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
C17,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
C18,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
C20,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
D14,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
D16,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
D17,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
D19,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
D20,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
D4,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
E3,7/30/2021,Late July,CNWR,Russian thistle,,0,2021
F12,7/30/2021,Late July,HR,Russian thistle,,0,2021
F13,7/30/2021,Late July,HR,Russian thistle,,0,2021
F16,7/30/2021,Late July,HR,Russian thistle,,0,2021
F19,7/30/2021,Late July,HR,Russian thistle,,0,2021
F20,7/30/2021,Late July,HR,Russian thistle,,0,2021
F4,7/30/2021,Late July,HR,Russian thistle,,0,2021
F5,7/30/2021,Late July,HR,Russian thistle,,0,2021
F6,7/30/2021,Late July,HR,Russian thistle,,0,2021
F7,7/30/2021,Late July,HR,Russian thistle,,0,2021
F8,7/30/2021,Late July,HR,Russian thistle,,0,2021
G1,7/30/2021,Late July,HR,Russian thistle,,0,2021
G10,7/30/2021,Late July,HR,Russian thistle,,0,2021
G13,7/30/2021,Late July,HR,Russian thistle,,0,2021
G2,7/30/2021,Late July,HR,Russian thistle,,0,2021
G3,7/30/2021,Late July,HR,Russian thistle,,0,2021
G4,7/30/2021,Late July,HR,Russian thistle,,0,2021
G6,7/30/2021,Late July,HR,Russian thistle,,0,2021
G7,7/30/2021,Late July,HR,Russian thistle,,0,2021
G8,7/30/2021,Late July,HR,Russian thistle,,0,2021
G9,7/30/2021,Late July,HR,Russian thistle,,0,2021
H4,7/30/2021,Late July,HR,Russian thistle,,0,2021
A20,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
