blh,type,family,common_name,genus,organism,primer,OTU ,sequences,blh_mix_count,time_period,year,date,region,state,host_plant,BCTV,CPt,S_citri
280,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,16,321,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
280,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,10,2,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
280,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,6,2,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
280,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,14,178,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
280,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,4,10,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
280,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola tragus,trnF,2,NA,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
280,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,5,4,1,August,2022,8/2/2022,Royal City,WA,Carrot,1,1,0
272,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,6,3,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
272,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,9,10,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
272,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,7,3,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
272,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,1,31,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
272,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,2,30,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
272,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,3,8,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
272,Grass,Poaceae,Wheat,Triticum,Triticum monococcum,ITS,8,2,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,2,14,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,11,8,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,11,16,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Grass,Poaceae,Bluegrass,Poa,Poa pratensis,ITS,7,2,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Tree,Rosaceae,Cherry,Prunus,Prunus avium,ITS,1,30,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,9,2,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
270,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,4,4,4,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
269,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,3,70,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
269,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,18,5,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
