BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
L1,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,20,bc1137,D,bc1163 ,2,20,4,July,2022,44762,Othello,C7-Lin,linalool,Cannabis,45209,60.4,2.07,1.52,0,0,0
L1,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,20,bc1137,D,bc1163 ,3,3,4,July,2022,44762,Othello,C7-Lin,linalool,Cannabis,45209,60.4,2.07,1.52,0,0,0
L1,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,20,bc1137,D,bc1163 ,5,106,4,July,2022,44762,Othello,C7-Lin,linalool,Cannabis,45209,60.4,2.07,1.52,0,0,0
L1,Crop,Pedaliaceae,Sesame,Sesamum,Sesamum indicum,ITS,20,bc1137,D,bc1163 ,5,2,4,July,2022,44762,Othello,C7-Lin,linalool,Cannabis,45209,60.4,2.07,1.52,0,0,0
L2,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,20,bc1137,F,bc1171 ,9,2,2,July,2022,44762,Othello,C5-Ter,terpinolene,Cannabis,45209,65.9,2.08,1.82,0,0,0
L2,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,20,bc1137,F,bc1171 ,2,27,2,July,2022,44762,Othello,C5-Ter,terpinolene,Cannabis,45209,65.9,2.08,1.82,0,0,0
L2,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,20,bc1137,F,bc1171 ,1,46,2,July,2022,44762,Othello,C5-Ter,terpinolene,Cannabis,45209,65.9,2.08,1.82,0,0,0
L2,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,20,bc1137,F,bc1171 ,13,8,2,July,2022,44762,Othello,C5-Ter,terpinolene,Cannabis,45209,65.9,2.08,1.82,0,0,0
L2,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,20,bc1137,F,bc1171 ,23,4,2,July,2022,44762,Othello,C5-Ter,terpinolene,Cannabis,45209,65.9,2.08,1.82,0,0,0
L2,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,20,bc1137,F,bc1171 ,8,4,2,July,2022,44762,Othello,C5-Ter,terpinolene,Cannabis,45209,65.9,2.08,1.82,0,0,0
