BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Date,region,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV
6,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,20,bc1137,F,bc1171 ,1,46,2,July,45858,Othello Research Farm,C5-Ter,terpinolene,Hemp,45209,65.9,2.08,1.82,1
41,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,V,bc1140,19,bc1166 ,4,4,3,June,45815,Prosser Roza,Q7-Euc,eucalyptol,Hemp,45218,24.2,2.15,2.11,1
41,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,V,bc1140,19,bc1166 ,4,4,3,June,45815,Prosser Roza,Q7-Euc,eucalyptol,Hemp,45218,24.2,2.15,2.11,1
129,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,12,bc1135,K,bc1192 ,4,2,3,June,45829,Othello Research Farm,C6-Ger,geraniol,Hemp,45247,54.7,2.14,1.82,1
5,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,20,bc1137,D,bc1163 ,2,20,4,July,45858,Othello Research Farm,C7-Lin,linalool,Hemp,45209,60.4,2.07,1.52,0
10,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,20,bc1137,G,bc1172 ,11,17,4,June,45829,Prosser Roza,Q5-Ter,terpinolene,Hemp,45209,57.6,2.09,1.77,1
133,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,12,bc1135,V,bc1140 ,28,259,4,June,45829,Othello Research Farm,C1-Lin,linalool,Hemp,45247,92.7,2.08,2.03,1
134,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,12,bc1135,W,bc1189 ,14,144,4,June,45829,Othello Research Farm,C1-Lin,linalool,Hemp,45247,137.6,2.08,1.89,1
151,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,S,bc1154,9,bc1157 ,2,20,4,August,45871,Prosser Roza,Q3-Ter,terpinolene,Hemp,45248,102.1,2.15,2.27,1
258,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,T,bc1155,3,bc1182 ,5,3,4,June,45838,Royal City,H-Rli,R-limonene,Carrot,45313,123.7,2.02,1.53,1
33,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,19,bc1166,G,bc1172 ,4,5,5,June,45815,Prosser Roza,Q6-Ger,geraniol,Hemp,45218,110.5,2.13,1.99,1
69,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,17,bc1124,G,bc1172 ,28,2,5,June,45815,Prosser Roza,Q6.7,,Hemp,45226,136.8,2.09,2.11,1
71,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,i,bc1191 ,17,bc1124,5,15,5,June,45815,Prosser Roza,Q6.7,,Hemp,45226,141.4,2.13,2.15,1
