Type,Family,Common,Genus,BLH ,idBLH,BLTVA,BCTV,Barcode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant ,Year
Tree,Pinaceae,White Pine,Abies,141,141_2019,1,0,trnF,bc1115--bc1144,Abies concolor,3,2019-7-18,Late July,Paterson,529,Pigweed,2019
Tree,Sapindaceae,Japanese Maple,Acer,482,482_2020,1,0,trnF,bc1110--bc1144,Acer palmatum,2,2020-6-17,Late June,Othello,F,Russian thistle,2020
Tree,Sapindaceae,Red maple,Acer,20,20_2019,0,0,ITS,bc1140--bc1146 ,Acer rubrum,4,2019-6-12,Early June,Mattawa ,RDR,Potato,2019
Tree,Sapindaceae,Red maple,Acer,56,56_2019,0,0,ITS,bc1140--bc1156,Acer rubrum,3,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Tree,Sapindaceae,Sugar maple,Acer,43,43_2019,0,0,ITS,bc1155--bc1157,Acer saccharinum,71,2019-6-14,Early June,Pasco,WSU,Kochia,2019
Tree,Sapindaceae,Silver Maple,Acer,122,122_2020,1,1,ITS,bc1152--bc1190,Acer saccharinum,10,2020-5-18,Late May,Mattawa,D,Russian thistle,2020
Tree,Sapindaceae,Full moon Japanese Maple,Acer,482,482_2020,1,0,trnF,bc1110--bc1144,Acer tenuifolium,4,2020-6-17,Late June,Othello,F,Russian thistle,2020
Weed,Asteraceae,Yarrow,Achillea,171,171_2020,0,0,trnF,bc1107--bc1113,Achillea millefolium,19,2020-5-27,Late May,Paterson,J,Russian thistle,2020
Weed,Asteraceae,Yarrow,Achillea,171,171_2020,0,0,ITS,bc1140--bc1152,Achillea millefolium,10,2020-5-27,Late May,Paterson,J,Russian thistle,2020
Grass,Poaceae,Barbed Goatgrass,Aegilops,123,123_2020,0,1,ITS,bc1152--bc1191,Aegilops triuncialis,6,2020-5-18,Late May,Mattawa,D,Russian thistle,2020
Crop,Amaryllidaceae,Onion,Allium,40,40_2019,0,0,ITS,bc1140--bc1153,Allium cepa,3,2019-6-14,Early June,Pasco,505,Pigweed,2019
Weed,Amaryllidaceae,Wild onion,Allium,37,37_2020,0,1,ITS,bc1146--bc1172,Allium pskemense,493,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Weed,Amaryllidaceae,Wild onion,Allium,28,28_2020,0,0,ITS,bc1146--bc1171,Allium pskemense,5,2020-5-18,Late May,Moxee,A,Kochia,2020
Weed,Amaryllidaceae,Wild onion,Allium,84,84_2020,1,1,ITS,bc1146--bc1155,Allium pskemense,4,2020-5-18,Late May,Mattawa,B,Russian thistle,2020
Tree,Betulaceae,Alder,Alnus,365,365_2021,0,0,trnF,bc1106--bc1177,Alnus jorullensis,2,2021-5-26,Late May,Moxee,Moxee farm,Flixweed,2021
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,39,39_2019,0,0,trnF,bc1109--bc1142,Amaranthus blitum,6,2019-6-14,Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,40,40_2019,0,0,trnF,bc1110--bc1142,Amaranthus blitum,23,2019-6-14,Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,52,52_2019,0,0,trnF,bc1142--bc1176,Amaranthus blitum,48,2019-6-20,Late June,Paterson,475,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,96,96_2019,1,0,trnF,bc1110--bc1143,Amaranthus blitum,9,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,97,97_2019,0,0,trnF,bc1143--bc1176,Amaranthus blitum,334,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,106,106_2019,0,0,trnF,bc1143--bc1177,Amaranthus blitum,2,2019-7-11,Early July,Paterson,107,Potato,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,108,108_2019,1,0,trnF,bc1107--bc1120,Amaranthus blitum,15,2019-7-11,Early July,Paterson,107,Russian thistle,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,112,112_2019,1,0,trnF,bc1107--bc1112,Amaranthus blitum,53,2019-7-11,Early July,Paterson,475,Russian thistle,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,114,114_2019,0,0,trnF,bc1113--bc1144,Amaranthus blitum,6,2019-7-11,Early July,Paterson,475,Potato,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,141,141_2019,1,0,trnF,bc1115--bc1144,Amaranthus blitum,52,2019-7-18,Late July,Paterson,529,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,162,162_2019,0,0,trnF,bc1169--bc1177,Amaranthus blitum,13,2019-8-1,Early August,Paterson,475,Kochia,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,163,163_2019,0,0,trnF,bc1169--bc1176,Amaranthus blitum,2,2019-8-2,Early August,Pasco,WSU,Kochia,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,166,166_2019,0,0,trnF,bc1144--bc1176,Amaranthus blitum,14,2019-8-2,Early August,Pasco,WSU,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,168,168_2019,0,0,trnF,bc1120--bc1169,Amaranthus blitum,2,2019-8-2,Early August,Pasco,413,Russian thistle,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,169,169_2019,0,0,trnF,bc1115--bc1169,Amaranthus blitum,11,2019-8-2,Early August,Pasco,WSU,Russian thistle,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,174,174_2019,0,0,trnF,bc1113--bc1169,Amaranthus blitum,4,2019-8-2,Early August,Pasco,WSU,Russian thistle,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,175,175_2019,0,0,trnF,bc1112--bc1169,Amaranthus blitum,41,2019-8-2,Early August,Pasco,WSU,Russian thistle,2019
Pigweed,Amaranthaceae,Pigweed,Amaranthus,504,504_2020,1,0,trnF,bc1100--bc1105,Amaranthus capensis,3,2020-6-25,Late June,Pasco,M,Netseed Lambsquarters,2020
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,19,19_2019,0,1,ITS,bc1140--bc1150,Amaranthus hybridus,3,2019-6-12,Early June,Mattawa ,RDR,Potato,2019
