Type,Family,Common,Genus,BLH ,BLTVA,BCTV,Barcode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant ,Year
Shrub,Solanaceae,Goji Berry,Lycium,1,1,0,ITS,bc1133--bc1140,Lycium barbarum,12,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Nightshade,Solanaceae,Black Henbane,Hyoscyamus,1,1,0,ITS,bc1133--bc1140,Hyoscyamus niger,31,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Nightshade,Solanaceae,Cape gooseberry,Physalis,1,1,0,ITS,bc1133--bc1140,Physalis peruviana,10,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,1,1,0,ITS,bc1133--bc1140,Kali turgidum,7,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Weed,Apocynaceae,Khimp or Markh,Leptadenia,1,1,0,ITS,bc1133--bc1140,Leptadenia pyrotechnica,3,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Crop,Cucurbitaceae,Winter Squash or Pumpkin,Cucurbita,2,0,0,ITS,bc1134--bc1140,Cucurbita pepo,3,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Shrub,Lauraceae,Spicebush,Lindera,2,0,0,trnF,bc1112--bc1142,Lindera fragrans,7,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,2,0,0,ITS,bc1134--bc1140,Brassica carinata,11,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,2,0,0,ITS,bc1134--bc1140,Chorispora tenella,2,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Nightshade,Solanaceae,Black Henbane,Hyoscyamus,2,0,0,ITS,bc1134--bc1140,Hyoscyamus niger,3,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Nightshade,Solanaceae,Bittersweet Nightshade,Solanum,2,0,0,trnF,bc1112--bc1142,Solanum dulcamara,2,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,2,0,0,ITS,bc1134--bc1140,Kali turgidum,4,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,2,0,0,trnF,bc1112--bc1142,Salsola komarovii,5,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Shrub,Rosaceae,Taiwanese Photinia,Photinia,2,0,0,ITS,bc1134--bc1140,Photinia serratifolia,2,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Weed,Amaranthaceae,Epazote,Chenopodium,2,0,0,trnF,bc1112--bc1142,Chenopodium acuminatum,3,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Weed,Fabaceae,Hairy Vetch,Vicia,2,0,0,ITS,bc1134--bc1140,Vicia villosa,16,"Monday, June 3, 2019",Early June,Mattawa ,RDR,Russian thistle,2019
Kochia,Amaranthaceae,Kochia scoparia,Bassia,12,0,0,ITS,bc1123--bc1140,Bassia scoparia,3,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,12,0,0,ITS,bc1123--bc1140,Brassica carinata,124,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,12,0,0,ITS,bc1123--bc1140,Descurainia sophia,765,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,12,0,0,trnF,bc1100--bc1142,Descurainia sophia,76,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,12,0,0,ITS,bc1123--bc1140,Kali turgidum,88,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,12,0,0,trnF,bc1100--bc1142,Salsola komarovii,12,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Crop,Asteraceae,Lettuce,Lactuca,18,1,0,trnF,bc1099--bc1142,Lactuca sativa,2,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,18,1,0,ITS,bc1124--bc1140,Brassica carinata,30,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,18,1,0,ITS,bc1124--bc1140,Descurainia sophia,51,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Potato,Solanaceae,Potato,Solanum,18,1,0,ITS,bc1124--bc1140,Solanum tuberosum,3,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,18,1,0,ITS,bc1124--bc1140,Kali turgidum,292,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,18,1,0,trnF,bc1099--bc1142,Salsola komarovii,9,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Tree,Sapindaceae,Longan Tropical Fruit,Dimocarpus,18,1,0,ITS,bc1124--bc1140,Dimocarpus longan,2,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
