Type,Family,Common,Genus,BLH,BLTVA,BCTV,BarCode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant,Year
Cannabis,Cannabaceae,Cannabis,Cannabis,10,1,0,ITS,bc1150--bc1172,Cannabis sativa,10,"Wednesday, April 22, 2020",Late April,Pasco,WSU,Filaree,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,10,1,0,ITS,bc1150--bc1172,Brassica carinata,9,"Wednesday, April 22, 2020",Late April,Pasco,WSU,Filaree,2020
Weed,Geraniaceae,redstem filaree,Erodium,10,1,0,ITS,bc1150--bc1172,Erodium cicutarium,2357,"Wednesday, April 22, 2020",Late April,Pasco,WSU,Filaree,2020
Crop,Fabaceae,Pea,Pisum,18,0,0,ITS,bc1150--bc1155,Pisum sativum,30,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Grass,Poaceae,Cheatgrass,Bromus,18,0,0,ITS,bc1150--bc1155,Bromus tectorum,13,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,18,0,0,trnF,bc1105--bc1120,Bassia littorea,2,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,18,0,0,ITS,bc1150--bc1155,Brassica carinata,26,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Potato,Solanaceae,potato,Solanum,18,0,0,trnF,bc1105--bc1120,Solanum tuberosum,113,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Tree,Pinaceae,Japanese Red Pine,Pinus,18,0,0,trnF,bc1105--bc1120,Pinus densiflora,6,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Tree,Pinaceae,Chinese Red Pine,Pinus,18,0,0,trnF,bc1105--bc1120,Pinus tabuliformis,44,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,18,0,0,ITS,bc1150--bc1155,Chenopodium album,2,"Monday, May 18, 2020",Late May,Moxee,A,Flixweed,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,111,0,1,ITS,bc1152--bc1171,Cannabis sativa,4,"Monday, May 18, 2020",Late May,Mattawa,C,Flixweed,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,217,0,1,ITS,bc1140--bc1153,Cannabis sativa,1537,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Crop,Cucurbitaceae,pumpkin or winter squash,Cucurbita,37,0,1,ITS,bc1146--bc1172,Cucurbita pepo,90,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Crop,Fabaceae,soybean,Glycine,12,0,0,ITS,bc1150--bc1191,Glycine max,2,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Crop,Asteraceae,garden lettuce,Lactuca,12,0,0,trnF,bc1103--bc1120,Lactuca sativa,108,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Crop,Solanaceae,Tomato,Solanum,37,0,1,ITS,bc1146--bc1172,Solanum lycopersicum,90,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Crop,Solanaceae,Tomato,Solanum,39,1,1,trnF,bc1106--bc1109,Solanum lycopersicum,35,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,217,0,1,trnF,bc1108--bc1113,Bassia littorea,14,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,46,1,0,trnF,bc1111--bc1175,Bassia littorea,2,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,12,0,0,ITS,bc1150--bc1191,Bassia scoparia,3,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,39,1,1,ITS,bc1146--bc1190,Bassia scoparia,17,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,217,0,1,ITS,bc1140--bc1153,Bassia scoparia,422,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Kochia,Amaranthaceae,Kochia,Bassia,46,1,0,ITS,bc1146--bc1173,Bassia scoparia,2,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,11,0,0,ITS,bc1150--bc1190,Brassica carinata,54,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,12,0,0,ITS,bc1150--bc1191,Brassica carinata,45,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,39,1,1,ITS,bc1146--bc1190,Brassica carinata,2,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,46,1,0,ITS,bc1146--bc1173,Brassica carinata,8,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,37,0,1,ITS,bc1146--bc1172,Descurainia sophia,598,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,12,0,0,ITS,bc1150--bc1191,Descurainia sophia,381,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,39,1,1,trnF,bc1106--bc1109,Descurainia sophia,4,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,39,1,1,ITS,bc1146--bc1190,Descurainia sophia,631,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,41,0,1,ITS,bc1146--bc1191,Descurainia sophia,447,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,111,0,1,ITS,bc1152--bc1171,Descurainia sophia,1473,"Monday, May 18, 2020",Late May,Mattawa,C,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,217,0,1,ITS,bc1140--bc1153,Descurainia sophia,26,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,46,1,0,ITS,bc1146--bc1173,Descurainia sophia,742,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,12,0,0,trnF,bc1103--bc1120,Sisymbrium altissimum,15,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Nightshade,Solanaceae,Goji,Lycium,11,0,0,trnF,bc1103--bc1114,Lycium chinense,20,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Nightshade,Solanaceae,Goji,Lycium,39,1,1,trnF,bc1106--bc1109,Lycium chinense,50,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Nightshade,Solanaceae,Nightshade,Solanum,41,0,1,trnF,bc1106--bc1110,Solanum gourlayi,12,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,37,0,1,ITS,bc1146--bc1172,Solanum pinnatisectum,2,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,39,1,1,ITS,bc1146--bc1190,Solanum pinnatisectum,4,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,41,0,1,ITS,bc1146--bc1191,Solanum pinnatisectum,870,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,111,0,1,ITS,bc1152--bc1171,Solanum pinnatisectum,14,"Monday, May 18, 2020",Late May,Mattawa,C,Flixweed,2020
Potato,Solanaceae,potato,Solanum,12,0,0,trnF,bc1103--bc1120,Solanum tuberosum,66,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Potato,Solanaceae,potato,Solanum,39,1,1,trnF,bc1106--bc1109,Solanum tuberosum,3,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Potato,Solanaceae,potato,Solanum,41,0,1,trnF,bc1106--bc1110,Solanum tuberosum,866,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Potato,Solanaceae,potato,Solanum,217,0,1,trnF,bc1108--bc1113,Solanum tuberosum,12,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,11,0,0,ITS,bc1150--bc1190,Kali turgidum,4,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,39,1,1,ITS,bc1146--bc1190,Kali turgidum,39,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,111,0,1,ITS,bc1152--bc1171,Kali turgidum,2,"Monday, May 18, 2020",Late May,Mattawa,C,Flixweed,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,46,1,0,ITS,bc1146--bc1173,Kali turgidum,189,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,11,0,0,trnF,bc1103--bc1114,Salsola collina,23,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,39,1,1,trnF,bc1106--bc1109,Salsola collina,333,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,41,0,1,trnF,bc1106--bc1110,Salsola collina,2,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,111,0,1,trnF,bc1111--bc1169,Salsola collina,17,"Monday, May 18, 2020",Late May,Mattawa,C,Flixweed,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,217,0,1,trnF,bc1108--bc1113,Salsola collina,3,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
