Type,Family,Common,Genus,BLH,BLTVA ,BCTV,BarCode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant,Year
Weed,Asteraceae,Goats beard,Tragopogon,2,0,,trnF,bc1103--bc1112,Tragopogon pratensis,3,"Tuesday, March 23, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Kochia,Amaranthaceae,Kochia,Bassia,4,0,1,trnF,bc1103--bc1114,Bassia littorea,37,"Tuesday, March 23, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,4,0,1,trnF,bc1103--bc1114,Sisymbrium altissimum,8,"Tuesday, March 23, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,4,0,1,trnF,bc1103--bc1114,Salsola collina,35,"Tuesday, March 23, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Grass,Poaceae,Poverty Brome,Bromus,5,0,,trnF,bc1103--bc1120,Bromus sterilis,8,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,5,0,,trnF,bc1103--bc1120,Bassia littorea,8,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,5,0,,trnF,bc1103--bc1120,Sisymbrium altissimum,402,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,6,0,0,trnF,bc1103--bc1109,Lactuca sativa,3,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Grass,Poaceae,Mediterranean barley,Hordeum,6,0,0,trnF,bc1103--bc1109,Hordeum marinum,4,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,6,0,0,trnF,bc1103--bc1109,Bassia littorea,4,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,6,0,0,trnF,bc1103--bc1109,Sisymbrium altissimum,8,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Weed,Asteraceae,Goats beard,Tragopogon,6,0,0,trnF,bc1103--bc1109,Tragopogon pratensis,7,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,7,0,0,trnF,bc1103--bc1110,Lactuca sativa,24,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,7,0,0,trnF,bc1103--bc1110,Bassia littorea,403,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,7,0,0,trnF,bc1103--bc1110,Sisymbrium altissimum,102,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,9,0,0,trnF,bc1105--bc1120,Bassia littorea,25,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,9,0,0,trnF,bc1105--bc1120,Sisymbrium altissimum,4,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Crop,Solanaceae,Tomato,Solanum,10,0,1,trnF,bc1105--bc1109,Solanum lycopersicum,4,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,10,0,1,trnF,bc1105--bc1109,Bassia littorea,258,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,10,0,1,trnF,bc1105--bc1109,Sisymbrium altissimum,12,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,10,0,1,ITS,bc1140--bc1180,Sisymbrium altissimum,97,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
