"Organism","n"
"Acer rubrum",2
"Acer saccharinum",2
"Achillea millefolium",2
"Allium pskemense",3
"Amsinckia intermedia",2
"Artemisia fukudo",2
"Basella alba",2
"Bromus tectorum",3
"Capsicum annuum",2
"Cenchrus americanus",3
"Centaurea maculosa",2
"Citrus aurantium",2
"Citrus benikoji",2
"Citrus sinensis",2
"Corethrogyne filaginifolia",2
"Coriandrum sativum",2
"Cucurbita pepo",4
"Daucus carota",3
"Fagopyrum esculentum",4
"Festuca pratensis",2
"Fraxinus hupehensis",3
"Glycine max",2
"Helianthus annuus",2
"Hordeum brevisubulatum",3
"Juglans regia",4
"Ligustrum lucidum",2
"Lolium perenne",2
"Lolium rigidum",2
"Lycium barbarum",3
"Lycium ferocissimum",4
"Malus x",2
"Malva parviflora",3
"Olea europaea",2
"Physalis heterophylla",3
"Pinus densiflora",3
"Pistacia chinensis",2
"Pisum sativum",4
"Poa sublanata",2
"Prunus persica",4
"Pyrus communis",3
"Quercus robur",3
"Robinia pseudoacacia",4
"Rubus allegheniensis",2
"Secale cereale",2
"Sisymbrium loeselii",4
"Smilax aberrans",3
"Solanum nigrum",4
"Solanum physalifolium",2
"Solidago canadensis",3
"Sonchus oleraceus",2
"Tilia japonica",2
"Tragopogon pratensis",3
"Tribulus terrestris",3
"Ulmus pumila",2
