Sample,Name,Date,Year,Time period,Region,Plant,BLTVA,BCTV
1,1,3-Jul,2019,Early July,Mattawa,Kochia,0,0
2,2,3-Jul,2019,Early July,Mattawa,Prickly lettuce,0,0
3,3,3-Jul,2019,Early July,Mattawa,Russian thistle,0,0
4,4,3-Jul,2019,Early July,Mattawa,Potato,1,0
5,5,3-Jul,2019,Early July,Mattawa,Kochia,0,0
6,6,3-Jul,2019,Early July,Mattawa,Grasses,0,0
7,7,5-Jul,2019,Early July,Pasco,Potato,0,0
8,8,5-Jul,2019,Early July,Pasco,Pigweed,0,0
9,9,5-Jul,2019,Early July,Pasco,Kochia,0,0
10,10,5-Jul,2019,Early July,Pasco,Russian thistle,0,0
11,11,5-Jul,2019,Early July,Pasco,Tumble mustard,1,0
12,12,5-Jul,2019,Early July,Pasco,Potato,0,0
13,13,5-Jul,2019,Early July,Pasco,Pigweed,0,0
14,14,5-Jul,2019,Early July,Pasco,Kochia,0,0
15,15,5-Jul,2019,Early July,Pasco,Tumble mustard,1,0
16,16,5-Jul,2019,Early July,Pasco,Potato,0,0
17,17,5-Jul,2019,Early July,Pasco,Kochia,0,0
18,18,5-Jul,2019,Early July,Pasco,Pigweed,0,0
19,19,5-Jul,2019,Early July,Pasco,Russian thistle,0,0
20,20,10-Jul,2019,Early July,Mattawa,Potato,0,0
21,21,10-Jul,2019,Early July,Mattawa,Russian thistle,0,0
22,22,10-Jul,2019,Early July,Mattawa,Kochia,0,0
23,23,10-Jul,2019,Early July,Mattawa,Prickly lettuce,0,0
24,24,10-Jul,2019,Early July,Mattawa,Pigweed,0,0
25,27,11-Jul,2019,Early July,Paterson,Kochia,1,1
26,25,11-Jul,2019,Early July,Paterson,Potato,1,0
27,26,11-Jul,2019,Early July,Paterson,Russian thistle,0,0
28,28,11-Jul,2019,Early July,Paterson,Pigweed,0,0
29,29,11-Jul,2019,Early July,Paterson,Potato,1,0
30,30,11-Jul,2019,Early July,Paterson,Russian thistle,0,0
31,31,11-Jul,2019,Early July,Paterson,Kochia,1,0
32,32,11-Jul,2019,Early July,Paterson,Pigweed,0,0
33,33,11-Jul,2019,Early July,Paterson,Potato,1,0
34,34,11-Jul,2019,Early July,Paterson,Russian thistle,1,0
35,35,11-Jul,2019,Early July,Paterson,Prickly lettuce,0,0
36,36,12-Jul,2019,Early July,Moxee,Russian thistle,0,0
37,37,12-Jul,2019,Early July,Moxee,Kochia,1,0
38,38,12-Jul,2019,Early July,Pasco,Potato,0,0
39,39,12-Jul,2019,Early July,Pasco,Kochia,1,0
40,40,12-Jul,2019,Early July,Pasco,Russian thistle,0,0
41,41,12-Jul,2019,Early July,Pasco,Pigweed,0,0
42,42,12-Jul,2019,Early July,Pasco,Tumble mustard,1,0
43,43,12-Jul,2019,Early July,Pasco,Russian thistle,0,0
44,44,12-Jul,2019,Early July,Pasco,Prickly lettuce,0,0
45,45,12-Jul,2019,Early July,Pasco,Pigweed,0,0
46,46,12-Jul,2019,Early July,Pasco,Russian thistle,0,0
47,47,12-Jul,2019,Early July,Pasco,Kochia,1,0
48,55,18-Jul,2019,Late July,Paterson,Kochia,1,1
49,48,18-Jul,2019,Late July,Paterson,Pigweed,0,0
50,49,18-Jul,2019,Late July,Paterson,Prickly lettuce,0,0
51,50,18-Jul,2019,Late July,Paterson,Russian thistle,0,0
52,51,18-Jul,2019,Late July,Paterson,Kochia,0,0
53,52,18-Jul,2019,Late July,Paterson,Potato,1,0
54,53,18-Jul,2019,Late July,Paterson,Potato,0,0
55,54,18-Jul,2019,Late July,Paterson,Russian thistle,0,0
56,56,18-Jul,2019,Late July,Paterson,Potato,1,0
57,57,18-Jul,2019,Late July,Paterson,Russian thistle,0,0
58,58,18-Jul,2019,Late July,Paterson,Prickly lettuce,0,0
59,59,18-Jul,2019,Late July,Paterson,Pigweed,0,0
60,60,19-Jul,2019,Late July,Pasco,Pigweed,0,0
61,61,19-Jul,2019,Late July,Pasco,Russian thistle,0,0
62,62,19-Jul,2019,Late July,Pasco,Potato,1,0
63,63,20-Jul,2019,Late July,Mattawa,Kochia,0,0
64,64,20-Jul,2019,Late July,Mattawa,Pigweed,0,0
65,65,20-Jul,2019,Late July,Mattawa,Russian thistle,0,0
