ALL ,Sample ,Date,Year,Time period,Region,Plant,Specific,BLTVA,BCTV
1,1,3-Jul,2019,Early July,Mattawa,Kochia,Kochia,0,0
2,2,3-Jul,2019,Early July,Mattawa,Prickly lettuce,Prickly lettuce,0,0
3,3,3-Jul,2019,Early July,Mattawa,Russian thistle,Russian thistle,0,0
4,4,3-Jul,2019,Early July,Mattawa,Potato,Potato,1,0
5,5,3-Jul,2019,Early July,Mattawa,Kochia,Kochia,0,0
6,6,3-Jul,2019,Early July,Mattawa,Grasses,Grasses,0,0
7,7,5-Jul,2019,Early July,Pasco,Potato,Potato,0,0
8,8,5-Jul,2019,Early July,Pasco,Pigweed,Pigweed,0,0
9,9,5-Jul,2019,Early July,Pasco,Kochia,Kochia,0,0
10,10,5-Jul,2019,Early July,Pasco,Russian thistle,Russian thistle,0,0
11,11,5-Jul,2019,Early July,Pasco,Mustard,Tumble mustard,1,0
12,12,5-Jul,2019,Early July,Pasco,Potato,Potato,0,0
13,13,5-Jul,2019,Early July,Pasco,Pigweed,Pigweed,0,0
14,14,5-Jul,2019,Early July,Pasco,Kochia,Kochia,0,0
15,15,5-Jul,2019,Early July,Pasco,Mustard,Tumble mustard,1,0
16,16,5-Jul,2019,Early July,Pasco,Potato,Potato,0,0
17,17,5-Jul,2019,Early July,Pasco,Kochia,Kochia,0,0
18,18,5-Jul,2019,Early July,Pasco,Pigweed,Pigweed,0,0
19,19,5-Jul,2019,Early July,Pasco,Russian thistle,Russian thistle,0,0
20,20,10-Jul,2019,Early July,Mattawa,Potato,Potato,0,0
21,21,10-Jul,2019,Early July,Mattawa,Russian thistle,Russian thistle,0,0
22,22,10-Jul,2019,Early July,Mattawa,Kochia,Kochia,0,0
23,23,10-Jul,2019,Early July,Mattawa,Prickly lettuce,Prickly lettuce,0,0
24,24,10-Jul,2019,Early July,Mattawa,Pigweed,Pigweed,0,0
25,25,11-Jul,2019,Early July,Paterson,Potato,Potato,1,0
26,26,11-Jul,2019,Early July,Paterson,Russian thistle,Russian thistle,0,0
27,27,11-Jul,2019,Early July,Paterson,Kochia,Kochia,1,1
28,28,11-Jul,2019,Early July,Paterson,Pigweed,Pigweed,0,0
29,29,11-Jul,2019,Early July,Paterson,Potato,Potato,1,0
30,30,11-Jul,2019,Early July,Paterson,Russian thistle,Russian thistle,0,0
31,31,11-Jul,2019,Early July,Paterson,Kochia,Kochia,1,0
32,32,11-Jul,2019,Early July,Paterson,Pigweed,Pigweed,0,0
33,33,11-Jul,2019,Early July,Paterson,Potato,Potato,1,0
34,34,11-Jul,2019,Early July,Paterson,Russian thistle,Russian thistle,1,0
35,35,11-Jul,2019,Early July,Paterson,Prickly lettuce,Prickly lettuce,0,0
36,36,12-Jul,2019,Early July,Moxee,Russian thistle,Russian thistle,0,0
37,37,12-Jul,2019,Early July,Moxee,Kochia,Kochia,1,0
