Plant Type,Family,Common Name,Genus,Organism,BLH ,BLTVA,BCTV,Barcode,Query,Sequences,Collection Date,Time Period,Region,Site,Plant BLH collected from
Tree,Pinaceae,White Pine,Abies,Abies concolor,141,1,0,trnF,bc1115--bc1144,3,2019-07-18,Late July,Paterson,529,Pigweed
Tree,Sapindaceae,Red maple,Acer,Acer rubrum,20,0,0,ITS,bc1140--bc1146 ,4,2019-06-12,Early June,Mattawa ,RDR,Potato
Tree,Sapindaceae,Red maple,Acer,Acer rubrum,56,0,0,ITS,bc1140--bc1156,3,2019-06-21,Late June,Pasco,WSU,Pigweed
Tree,Sapindaceae,Sugar maple,Acer,Acer saccharinum,43,0,0,ITS,bc1155--bc1157,71,2019-06-14,Early June,Pasco,WSU,Kochia
Crop,Amaryllidaceae,Onion,Allium,Allium cepa,40,0,0,ITS,bc1140--bc1153,3,2019-06-14,Early June,Pasco,505,Pigweed
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,39,0,0,trnF,bc1109--bc1142,6,2019-06-14,Early June,Pasco,505,Pigweed
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,40,0,0,trnF,bc1110--bc1142,23,2019-06-14,Early June,Pasco,505,Pigweed
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,52,0,0,trnF,bc1142--bc1176,48,2019-06-20,Late June,Paterson,475,Pigweed
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,96,1,0,trnF,bc1110--bc1143,9,2019-07-05,Early July,Mattawa,WSU,Pigweed
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,97,0,0,trnF,bc1143--bc1176,334,2019-07-05,Early July,Mattawa,WSU,Pigweed
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,106,0,0,trnF,bc1143--bc1177,2,2019-07-11,Early July,Paterson,107,Potato
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,Amaranthus blitum,108,1,0,trnF,bc1107--bc1120,15,2019-07-11,Early July,Paterson,107,Russian thistle
