Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Tree,Sapindaceae,Japanese Maple,Acer,Acer palmatum,11,2,99.80%,482,bc1110--bc1144,trnF,Late June,2020-06-17,Othello,F,Russian thistle,F,1,0,0,RADseq
Tree,Sapindaceae,Silver Maple,Acer,Acer saccharinum,112,10,100.00%,122,bc1152--bc1190,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,,1,1,0,Extracted by Gina
Tree,Sapindaceae,Full moon Japanese Maple,Acer,Acer tenuifolium,6,4,97.20%,482,bc1110--bc1144,trnF,Late June,2020-06-17,Othello,F,Russian thistle,F,1,0,0,RADseq
Weed,Asteraceae,Yarrow,Achillea,Achillea millefolium,2,19,100.00%,171,bc1107--bc1113,trnF,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Weed,Asteraceae,Yarrow,Achillea,Achillea millefolium,91,10,99.80%,171,bc1140--bc1152,ITS,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Grass,Poaceae,Barbed Goatgrass,Aegilops,Aegilops triuncialis,6,6,98.60%,123,bc1152--bc1191,ITS,Late May,2020-05-18,Mattawa,D,Russian thistle,F,0,1,0,RADseq
Weed,Amaryllidaceae,Wild onion,Allium,Allium pskemense,635,493,99.60%,37,bc1146--bc1172,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,M,0,1,0,RADseq
Weed,Amaryllidaceae,Wild onion,Allium,Allium pskemense,4,5,99.60%,28,bc1146--bc1171,ITS,Late May,2020-05-18,Moxee,A,Kochia,F,0,0,0,
Weed,Amaryllidaceae,Wild onion,Allium,Allium pskemense,16,4,99.60%,84,bc1146--bc1155,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,,1,1,0,
Pigweed,Amaranthaceae,Pigweed,Amaranthus,Amaranthus capensis,6,3,96.60%,504,bc1100--bc1105,trnF,Late June,2020-06-25,Pasco,M,Netseed LambsquaRussian thistleers,F,1,0,0,
Pigweed,Amaranthaceae,Smooth Pigweed,Amaranthus,Amaranthus hybridus,1,13,99.60%,504,bc1133--bc1171,ITS,Late June,2020-06-25,Pasco,M,Netseed LambsquaRussian thistleers,F,1,0,0,
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,13,4,100.00%,655,bc1144--bc1176,trnF,Early August,2020-08-12,Othello,F,Russian thistle,M,0,0,0,RADseq
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,2,17,100.00%,201,bc1108--bc1111,trnF,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,14,2,99.60%,496,bc1097--bc1105,trnF,Late June,2020-06-25,Paterson,I,Russian thistle,F,0,0,0,RADseq
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,4,5,99.80%,504,bc1100--bc1105,trnF,Late June,2020-06-25,Pasco,M,Netseed LambsquaRussian thistleers,F,1,0,0,
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,9,5,99.80%,518,bc1106--bc1111,trnF,Late June,2020-06-25,Pasco,M,Russian thistle,F,1,0,0,
Weed,Asteraceae,Ragweed,Ambrosia,Ambrosia acanthicarpa,4,18,99.70%,12,bc1150--bc1191,ITS,Late April,2020-04-23,Moxee,A,Flixweed/Pinnate tansymustard,F,0,0,0,RADseq
Weed,Boraginaceae,Borage,Amsinckia,Amsinckia intermedia,5,8,100.00%,787,bc1169--bc1177,trnF,Late August,2020-08-27,Othello,E,Kochia,F,1,0,0,RADseq
Shrub,Crop,Tarragon,Artemisia,Artemisia dracunculus,268,386,98.00%,17,bc1150--bc1154,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,1,1,0,Extracted by Gina
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,4,99.80%,171,bc1107--bc1113,trnF,Late May,2020-05-27,Paterson,J,Russian thistle,M,0,0,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,2,100.00%,362,bc1110--bc1142,trnF,Early June,2020-06-03,Mattawa,D,Potato,M,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,10,14,100.00%,472,bc1113--bc1144,trnF,Late June,2020-06-17,Othello,F,Kochia,M,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,3,100.00%,487,bc1100--bc1103,trnF,Late June,2020-06-25,Paterson,H,Russian thistle,M,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,20,45,99.60%,655,bc1144--bc1176,trnF,Early August,2020-08-12,Othello,F,Russian thistle,M,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,59,253,100.00%,663,bc1103--bc1177,trnF,Early August,2020-08-12,Othello,G,Kochia,M,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,5,9,100.00%,788,bc1107--bc1177,trnF,Late August,2020-08-27,Othello,E,Kochia,M,0,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,3,100.00%,792,bc1108--bc1177,trnF,Late August,2020-08-27,Othello,E,Russian thistle,M,0,1,0,Faintly positive for bctv
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,2,99.70%,18,bc1105--bc1120,trnF,Late May,2020-05-18,Moxee,A,Flixweed,F,0,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,11,6,100.00%,19,bc1105--bc1109,trnF,Late May,2020-05-18,Moxee,A,Tumble mustard,F,0,0,0,RADseq
