Sample,Chemovar,Type,Block,Plant,Transplant,Treatment,Colony,Infection,Data,Set,Leaf,Height,Width,Internode,SPAD1,SPAD2,SPAD3,Symptom,Description,Notes,Diameter,Weight,Flower
K1,Kompolti,Fiber,1,45743,45762,BCTV,B7,45769,45769,1,12,23.4,22,5,33.2,36.5,34,0,Healthy,some yellow spots on leaves_ 2 leaves are growing twisted,0.5,18.5,NA
K1,Kompolti,Fiber,1,45743,45762,BCTV,B7,45769,45777,2,16,33,23,6,23.6,27.6,29,5,all lower leaves crispy_ curling_ brown spots,,0.5,18.5,NA
K1,Kompolti,Fiber,1,45743,45762,BCTV,B7,45769,45791,3,14,41,23,10,16.4,19.2,21.5,2,chlorosis_ brown tips on leaves_ tacoing_ fasciation,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted_ no lower leaves on lower 3/4,0.5,18.5,NA
K1,Kompolti,Fiber,1,45743,45762,BCTV,B7,45769,45805,4,16,48,26,12,35.6,52.1,30.7,0,healthy ,Lower two leaves brown and edges brown on 2nd 2 sets,0.5,18.5,NA
K1,Kompolti,Fiber,1,45743,45762,BCTV,B7,45769,45819,5,22,58,30,14,29.6,49.8,42,2,Fasciation_ chlorosis_ feeding burn_ taco,Lower two leaves dead_ brown tips on older leaves,0.5,18.5,NA
K10,Kompolti,Fiber,1,45743,45762,BCTV,B6,45769,45769,1,12,18.5,17.3,5,37.6,35.1,40.5,0,Healthy,some leaves are growing twisted_ light green variegation,0.5,11.8,NA
K10,Kompolti,Fiber,1,45743,45762,BCTV,B6,45769,45777,2,14,27,29,7,26.1,26,31.1,2,edges curling_ yellow and brown tips,two leaves broke off,0.5,11.8,NA
K10,Kompolti,Fiber,1,45743,45762,BCTV,B6,45769,45791,3,10,34,23,10,10.2,19.5,22.2,3,chlorosis_ brown tips on leaves_ tacoing_ fasciation_ veining_ curling of new leaves,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted_ no leaves on lower 2/3,0.5,11.8,NA
K10,Kompolti,Fiber,1,45743,45762,BCTV,B6,45769,45805,4,17,38,29,13,42.3,24.1,19.1,2,chlorosis_ facsiation_ curling of young leaves_ tacoing of older leaves,,0.5,11.8,NA
K10,Kompolti,Fiber,1,45743,45762,BCTV,B6,45769,45819,5,22,46,30,16,48.6,52.3,32.8,3,taco_ twist,,0.5,11.8,NA
K11,Kompolti,Fiber,1,45743,45762,BCTV,B4,45769,45769,1,14,22.3,20.5,6,43.5,41.6,31.4,0,Healthy,,0.9,35.5,NA
