family,genus,detections,percent
Solanaceae,Solanum,232,17.83
Amaranthaceae,Bassia,148,11.38
Amaranthaceae,Salsola,113,8.69
Amaranthaceae,Kali,74,5.69
Brassicaceae,Sisymbrium,71,5.46
Amaranthaceae,Amaranthus,60,4.61
Asteraceae,Lactuca,56,4.3
Amaranthaceae,Chenopodium,55,4.23
Brassicaceae,Brassica,43,3.31
Brassicaceae,Descurainia,38,2.92
Brassicaceae,Raphanus,30,2.31
Asteraceae,Erigeron,25,1.92
Poaceae,Bromus,25,1.92
Cannabaceae,Cannabis,20,1.54
Fabaceae,Medicago,18,1.38
Malvaceae,Tilia,18,1.38
Fabaceae,Vigna,17,1.31
Geraniaceae,Erodium,14,1.08
Solanaceae,Lycium,12,0.92
Convolvulaceae,Convolvulus,10,0.77
Cucurbitaceae,Cucumis,9,0.69
Poaceae,Hordeum,9,0.69
Rutaceae,Citrus,8,0.61
Brassicaceae,Chorispora,7,0.54
Solanaceae,Hyoscyamus,7,0.54
Pinaceae,Pinus,6,0.46
Sapindaceae,Acer,6,0.46
Brassicaceae,Pseudofortuynia,5,0.38
Fagaceae,Quercus,5,0.38
Rosaceae,Prunus,5,0.38
Amaryllidaceae,Allium,4,0.31
Anacardiaceae,Pistacia,4,0.31
Asteraceae,Artemisia,4,0.31
Cucurbitaceae,Cucurbita,4,0.31
Fabaceae,Pisum,4,0.31
Fabaceae,Robinia,4,0.31
Juglandaceae,Juglans,4,0.31
Oleaceae,Fraxinus,4,0.31
Poaceae,Lolium,4,0.31
Polygonaceae,Fagopyrum,4,0.31
Rosaceae,Pyrus,4,0.31
Solanaceae,Physalis,4,0.31
Asteraceae,Centaurea,3,0.23
Asteraceae,Solidago,3,0.23
Asteraceae,Sonchus,3,0.23
Asteraceae,Tragopogon,3,0.23
Boraginaceae,Amsinckia,3,0.23
Fabaceae,Glycine,3,0.23
Malvaceae,Malva,3,0.23
Poaceae,Cenchrus,3,0.23
Smilacaceae,Smilax,3,0.23
Solanaceae,Capsicum,3,0.23
Ulmaceae,Ulmus,3,0.23
Zygophyllaceae,Tribulus,3,0.23
Apiaceae,Coriandrum,2,0.15
Apiaceae,Daucus,2,0.15
Asteraceae,Achillea,2,0.15
Asteraceae,Corethrogyne,2,0.15
Asteraceae,Helianthus,2,0.15
Basellaceae,Basella,2,0.15
Convolvulaceae,Ipomoea,2,0.15
Fabaceae,Vicia,2,0.15
Oleaceae,Ligustrum,2,0.15
Oleaceae,Olea,2,0.15
Poaceae,Festuca,2,0.15
Poaceae,Poa,2,0.15
Poaceae,Secale,2,0.15
Rosaceae,Malus,2,0.15
Rosaceae,Photinia,2,0.15
Rosaceae,Rubus,2,0.15
Salicaceae,Salix,2,0.15
Solanaceae,Nicotiana,2,0.15
Amaranthaceae,Beta,1,0.08
Amaranthaceae,Spinacia,1,0.08
Apocynaceae,Leptadenia,1,0.08
Asteraceae,Ambrosia,1,0.08
Asteraceae,Carthamus,1,0.08
Asteraceae,Echinacea,1,0.08
Betulaceae,Alnus,1,0.08
Betulaceae,Betula,1,0.08
Boraginaceae,Phacelia,1,0.08
Cucurbitaceae,Citrullus,1,0.08
Fabaceae,Lotus,1,0.08
Fabaceae,Maackia,1,0.08
Fabaceae,Phaseolus,1,0.08
Fabaceae,Styphnolobium,1,0.08
Lamiaceae,Mentha,1,0.08
Lauraceae,Lindera,1,0.08
Lauraceae,Phoebe,1,0.08
Linaceae,Linum,1,0.08
Lythraceae,Lagerstroemia,1,0.08
Morceae,Morus,1,0.08
Pinaceae,Abies,1,0.08
Plantaginaceae,Plantago,1,0.08
Platanaceae,Platanus,1,0.08
Poaceae,Aegilops,1,0.08
Poaceae,Elymus,1,0.08
Poaceae,Pseudoroegneria,1,0.08
Poaceae,Setaria,1,0.08
Poaceae,Sorghum,1,0.08
Poaceae,Triticum,1,0.08
Polygonaceae,Polygonum,1,0.08
Portulacaceae,Portulaca,1,0.08
Sapindaceae,Dimocarpus,1,0.08
Solanaceae,Scopolia,1,0.08
Theaceae,Camellia,1,0.08
Vitaceae,Vitis,1,0.08
